Molten Giant	Costs (1) less for each damage your hero has taken.	Minion	Epic	Expert
Clockwork Giant	Costs (1) less for each card in your opponent's hand.	Minion	Epic	Goblins
Mountain Giant	Costs (1) less for each other card in your hand.	Minion	Epic	Expert
Pyroblast	Deal 10 damage.	Ability	Epic	Expert
Deathwing	Battlecry: Destroy all other minions and discard your hand.	Minion	Legendary	Expert
Sea Giant	Costs (1) less for each other minion on the battlefield.	Minion	Epic	Expert
Tree of Life	Restore all characters to full Health.	Ability	Epic	Goblins
Alexstrasza	Battlecry: Set a hero's remaining Health to 15.	Minion	Legendary	Expert
Cenarius	Choose One - Give your other minions +2/+2; or Summon two 2/2 Treants with Taunt.	Minion	Legendary	Expert
King Krush	Charge	Minion	Legendary	Expert
Lord Jaraxxus	Battlecry: Destroy your hero and replace it with Lord Jaraxxus.	Minion	Legendary	Expert
Mal'Ganis	Your other Demons have +2/+2.Your hero is Immune.	Minion	Legendary	Goblins
Malygos	Spell Damage +5	Minion	Legendary	Expert
Mekgineer Thermaplugg	Whenever an enemy minion dies, summon a Leper Gnome.	Minion	Legendary	Goblins
Nozdormu	Players only have 15 seconds to take their turns.	Minion	Legendary	Expert
Onyxia	Battlecry: Summon 1/1 Whelps until your side of the battlefield is full.	Minion	Legendary	Expert
Ysera	At the end of your turn, add a Dream Card to your hand.	Minion	Legendary	Expert
Lay on Hands	Restore #8 Health. Draw 3 cards.	Ability	Epic	Expert
Twisting Nether	Destroy all minions.	Ability	Epic	Expert
Al'Akir the Windlord	Windfury, Charge, Divine Shield, Taunt	Minion	Legendary	Expert
Foe Reaper 4000	Also damages the minions next to whomever he attacks.	Minion	Legendary	Goblins
Force-Tank MAX	Divine Shield	Minion	Common	Goblins
Grommash Hellscream	ChargeEnrage: +6 Attack	Minion	Legendary	Expert
Gruul	At the end of each turn, gain +1/+1 .	Minion	Legendary	Expert
Ragnaros the Firelord	Can't Attack. At the end of your turn, deal 8 damage to a random enemy.	Minion	Legendary	Expert
Sneed's Old Shredder	Deathrattle: Summon a random legendary minion.	Minion	Legendary	Goblins
Tirion Fordring	Divine Shield. Taunt. Deathrattle: Equip a 5/3 Ashbringer.	Minion	Legendary	Expert
