Millhouse Manastorm	Battlecry: Enemy spells cost (0) next turn.	Minion	Legendary	Expert
Mistress of Pain	Whenever this minion deals damage, restore that much Health to your hero.	Minion	Rare	Goblins
Nat Pagle	At the start of your turn, you have a 50% chance to draw an extra card.	Minion	Legendary	Expert
One-eyed Cheat	Whenever you summon a Pirate, gain Stealth.	Minion	Rare	Goblins
Patient Assassin	Stealth. Destroy any minion damaged by this minion.	Minion	Epic	Expert
Pint-Sized Summoner	The first minion you play each turn costs (1) less.	Minion	Rare	Expert
Puddlestomper	He pays homage to Morgl, the great murloc oracle! (Who doesn't??)	Minion	Common	Goblins
Recombobulator	Battlecry: Transform a friendly minion into a random minion with the same Cost.	Minion	Epic	Goblins
Scavenging Hyena	Whenever a friendly Beast dies, gain +2/+1.	Minion	Common	Expert
Shadowboxer	Whenever a character is healed, deal 1 damage to a random enemy.	Minion	Rare	Goblins
Shielded Minibot	Divine Shield	Minion	Common	Goblins
Ship's Cannon	Whenever you summon a Pirate, deal 2 damage to a random enemy.	Minion	Common	Goblins
Shrinkmeister	Battlecry: Give a minion -2 Attack this turn.	Minion	Common	Goblins
Snowchugger	Freeze any character damaged by this minion.	Minion	Common	Goblins
Sorcerer's Apprentice	Your spells cost (1) less.	Minion	Common	Expert
Steamwheedle Sniper	Your Hero Power can target minions.	Minion	Epic	Goblins
Stonesplinter Trogg	Whenever your opponent casts a spell, gain +1 Attack.	Minion	Common	Goblins
Sunfury Protector	Battlecry: Give adjacent minions Taunt.	Minion	Rare	Expert
Vitality Totem	At the end of your turn, restore 4 Health to your hero.	Minion	Rare	Goblins
Whirling Zap-o-matic	Windfury	Minion	Common	Goblins
Wild Pyromancer	After you cast a spell, deal 1 damage to ALL minions.	Minion	Rare	Expert
Youthful Brewmaster	Battlecry: Return a friendly minion from the battlefield to your hand.	Minion	Common	Expert
Bestial Wrath	Give a friendly Beast +2 Attack and Immune this turn.	Ability	Epic	Expert
Blessing of Wisdom	Choose a minion. Whenever it attacks, draw a card.	Ability	Common	Expert
Cold Blood	Give a minion +2 Attack. Combo: +4 Attack instead.	Ability	Common	Expert
Conceal	Give your minions Stealth until your next turn.	Ability	Common	Expert
Earth Shock	Silence a minion, then deal 1 damage to it.	Ability	Common	Expert
Eye for an Eye	Secret: When your hero takes damage, deal that much damage to the enemy hero.	Ability	Common	Expert
Forked Lightning	Deal 2 damage to 2 random enemy minions. Overload: (2)	Ability	Common	Expert
Ice Lance	Freeze a character. If it was already Frozen, deal 4 damage instead.	Ability	Common	Expert
Inner Fire	Change a minion's Attack to be equal to its Health.	Ability	Common	Expert
Light of the Naaru	Restore #3 Health. If the target is still damaged, summon a Lightwarden.	Ability	Rare	Goblins
Lightning Bolt	Deal 3 damage. Overload: (1)	Ability	Common	Expert
Naturalize	Destroy a minion. Your opponent draws 2 cards.	Ability	Common	Expert
Noble Sacrifice	Secret: When an enemy attacks, summon a 2/1 Defender as the new target.	Ability	Common	Expert
Power Overwhelming	Give a friendly minion +4/+4 until end of turn. Then, it dies. Horribly.	Ability	Common	Expert
Redemption	Secret: When one of your minions dies, return it to life with 1 Health.	Ability	Common	Expert
Repentance	Secret: When your opponent plays a minion, reduce its Health to 1.	Ability	Common	Expert
Savagery	Deal damage equal to your hero's Attack to a minion.	Ability	Rare	Expert
Shield Slam	Deal 1 damage to a minion for each Armor you have.	Ability	Epic	Expert
Upgrade!	If you have a weapon, give it +1/+1. Otherwise equip a 1/3 weapon.	Ability	Rare	Expert
Abusive Sergeant	Battlecry: Give a minion +2 Attack this turn.	Minion	Common	Expert
Angry Chicken	Enrage: +5 Attack.	Minion	Rare	Expert
Argent Squire	Divine Shield	Minion	Common	Expert
Blood Imp	Stealth. At the end of your turn, give another random friendly minion +1 Health.	Minion	Common	Expert
Bloodsail Corsair	Battlecry: Remove 1 Durability from your opponent's weapon.	Minion	Rare	Expert
Clockwork Gnome	Deathrattle: Add a Spare Part card to your hand.	Minion	Common	Goblins
Cogmaster	Has +2 Attack while you have a Mech.	Minion	Common	Goblins
Dust Devil	Windfury. Overload: (2)	Minion	Common	Expert
Flame Imp	Battlecry: Deal 3 damage to your hero.	Minion	Common	Expert
Hungry Crab	Battlecry: Destroy a Murloc and gain +2/+2.	Minion	Epic	Expert
Leper Gnome	Deathrattle: Deal 2 damage to the enemy hero.	Minion	Common	Expert
Lightwarden	Whenever a character is healed, gain +2 Attack.	Minion	Rare	Expert
Mana Wyrm	Whenever you cast a spell, gain +1 Attack.	Minion	Common	Expert
Murloc Tidecaller	Whenever a Murloc is summoned, gain +1 Attack.	Minion	Rare	Expert
Secretkeeper	Whenever a Secret is played, gain +1/+1.	Minion	Rare	Expert
Shadowbomber	Battlecry: Deal 3 damage to each hero.	Minion	Epic	Goblins
Shieldbearer	Taunt	Minion	Common	Expert
Southsea Deckhand	Has Charge while you have a weapon equipped.	Minion	Common	Expert
Warbot	Enrage: +1 Attack.	Minion	Common	Goblins
Worgen Infiltrator	Stealth	Minion	Common	Expert
Young Dragonhawk	Windfury	Minion	Common	Expert
Young Priestess	At the end of your turn, give another random friendly minion +1 Health.	Minion	Rare	Expert
Circle of Healing	Restore #4 Health to ALL minions.	Ability	Common	Expert
Inner Rage	Deal 1 damage to a minion and give it +2 Attack.	Ability	Common	Expert
Preparation	The next spell you cast this turn costs (3) less.	Ability	Epic	Expert
Shadowstep	Return a friendly minion to your hand. It costs (2) less.	Ability	Common	Expert
Silence	Silence a minion.	Ability	Common	Expert
Target Dummy	Taunt	Minion	Rare	Goblins
Wisp	If you hit an Eredar Lord with enough Wisps, it will explode.   But why?	Minion	Common	Expert
Alleria Windrunner		Hero	Epic	Hero
Magni Bronzebeard		Hero	Epic	Hero
Medivh		Hero	Epic	Hero
